,Rank,Country,Gold,Silver,Bronze,Total,Season,Year,Host
19,20, Hungary,1,0,2,3,Winter,2022,0
20,21, Belgium,1,0,1,2,Winter,2022,0
21,21, Czech Republic,1,0,1,2,Winter,2022,0
22,21, Slovakia,1,0,1,2,Winter,2022,0
23,24, Belarus,0,2,0,2,Winter,2022,0
24,25, Spain,0,1,0,1,Winter,2022,0
25,25, Ukraine,0,1,0,1,Winter,2022,0
26,27, Estonia,0,0,1,1,Winter,2022,0
27,27, Latvia,0,0,1,1,Winter,2022,0
28,27, Poland,0,0,1,1,Winter,2022,0
