,level_0,index,Flag,Shortcut,Country,Gold,Silver,Bronze,Total,Place,Year
0,0,0,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/no,NOR,Norway,16.0,8.0,13.0,37.0,beijing,2022
1,1,1,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/de,GER,Germany,12.0,10.0,5.0,27.0,beijing,2022
2,2,2,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cn,CHN,People's Republic of China,9.0,4.0,2.0,15.0,beijing,2022
3,3,3,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/us,USA,United States of America,8.0,10.0,7.0,25.0,beijing,2022
4,4,4,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/se,SWE,Sweden,8.0,5.0,5.0,18.0,beijing,2022
5,5,5,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nl,NED,Netherlands,8.0,5.0,4.0,17.0,beijing,2022
6,6,6,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/at,AUT,Austria,7.0,7.0,4.0,18.0,beijing,2022
7,7,7,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ch,SUI,Switzerland,7.0,2.0,5.0,14.0,beijing,2022
8,8,8,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/roc,ROC,ROC,6.0,12.0,14.0,32.0,beijing,2022
9,9,9,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fr,FRA,France,5.0,7.0,2.0,14.0,beijing,2022
10,10,10,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ca,CAN,Canada,4.0,8.0,14.0,26.0,beijing,2022
11,11,11,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/jp,JPN,Japan,3.0,6.0,9.0,18.0,beijing,2022
12,12,12,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/it,ITA,Italy,2.0,7.0,8.0,17.0,beijing,2022
13,13,13,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/kr,KOR,Republic of Korea,2.0,5.0,2.0,9.0,beijing,2022
14,14,14,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/si,SLO,Slovenia,2.0,3.0,2.0,7.0,beijing,2022
15,15,15,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fi,FIN,Finland,2.0,2.0,4.0,8.0,beijing,2022
16,16,16,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nz,NZL,New Zealand,2.0,1.0,0.0,3.0,beijing,2022
17,17,17,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/au,AUS,Australia,1.0,2.0,1.0,4.0,beijing,2022
18,18,18,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/gb,GBR,Great Britain,1.0,1.0,0.0,2.0,beijing,2022
19,19,19,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/hu,HUN,Hungary,1.0,0.0,2.0,3.0,beijing,2022
20,20,20,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/sk,SVK,Slovakia,1.0,0.0,1.0,2.0,beijing,2022
21,21,21,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cz,CZE,Czech Republic,1.0,0.0,1.0,2.0,beijing,2022
22,22,22,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/be,BEL,Belgium,1.0,0.0,1.0,2.0,beijing,2022
23,23,23,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/by,BLR,Belarus,0.0,2.0,0.0,2.0,beijing,2022
24,24,24,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/es,ESP,Spain,0.0,1.0,0.0,1.0,beijing,2022
25,25,25,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ua,UKR,Ukraine,0.0,1.0,0.0,1.0,beijing,2022
26,26,26,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/pl,POL,Poland,0.0,0.0,1.0,1.0,beijing,2022
27,27,27,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/lv,LAT,Latvia,0.0,0.0,1.0,1.0,beijing,2022
28,28,28,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ee,EST,Estonia,0.0,0.0,1.0,1.0,beijing,2022
29,29,0,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/us,USA,United States of America,39.0,41.0,33.0,113.0,tokyo,2020
30,30,1,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cn,CHN,People's Republic of China,38.0,32.0,18.0,88.0,tokyo,2020
31,31,2,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/jp,JPN,Japan,27.0,14.0,17.0,58.0,tokyo,2020
32,32,3,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/gb,GBR,Great Britain,22.0,21.0,22.0,65.0,tokyo,2020
33,33,4,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/roc,ROC,ROC,20.0,28.0,23.0,71.0,tokyo,2020
34,34,5,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/au,AUS,Australia,17.0,7.0,22.0,46.0,tokyo,2020
35,35,6,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nl,NED,Netherlands,10.0,12.0,14.0,36.0,tokyo,2020
36,36,7,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fr,FRA,France,10.0,12.0,11.0,33.0,tokyo,2020
37,37,8,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/de,GER,Germany,10.0,11.0,16.0,37.0,tokyo,2020
38,38,9,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/it,ITA,Italy,10.0,10.0,20.0,40.0,tokyo,2020
39,39,10,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ca,CAN,Canada,7.0,6.0,11.0,24.0,tokyo,2020
40,40,11,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/br,BRA,Brazil,7.0,6.0,8.0,21.0,tokyo,2020
41,41,12,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nz,NZL,New Zealand,7.0,6.0,7.0,20.0,tokyo,2020
42,42,13,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cu,CUB,Cuba,7.0,3.0,5.0,15.0,tokyo,2020
43,43,14,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/hu,HUN,Hungary,6.0,7.0,7.0,20.0,tokyo,2020
44,44,15,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/kr,KOR,Republic of Korea,6.0,4.0,10.0,20.0,tokyo,2020
45,45,16,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/pl,POL,Poland,4.0,5.0,5.0,14.0,tokyo,2020
46,46,17,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cz,CZE,Czech Republic,4.0,4.0,3.0,11.0,tokyo,2020
47,47,18,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ke,KEN,Kenya,4.0,4.0,2.0,10.0,tokyo,2020
48,48,19,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/no,NOR,Norway,4.0,2.0,2.0,8.0,tokyo,2020
49,49,20,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/jm,JAM,Jamaica,4.0,1.0,4.0,9.0,tokyo,2020
50,50,21,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/es,ESP,Spain,3.0,8.0,6.0,17.0,tokyo,2020
51,51,22,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/se,SWE,Sweden,3.0,6.0,0.0,9.0,tokyo,2020
52,52,23,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ch,SUI,Switzerland,3.0,4.0,6.0,13.0,tokyo,2020
53,53,24,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/dk,DEN,Denmark,3.0,4.0,4.0,11.0,tokyo,2020
54,54,25,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/hr,CRO,Croatia,3.0,3.0,2.0,8.0,tokyo,2020
55,55,26,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ir,IRI,Islamic Republic of Iran,3.0,2.0,2.0,7.0,tokyo,2020
56,56,27,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/rs,SRB,Serbia,3.0,1.0,5.0,9.0,tokyo,2020
57,57,28,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/be,BEL,Belgium,3.0,1.0,3.0,7.0,tokyo,2020
58,58,29,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/bg,BUL,Bulgaria,3.0,1.0,2.0,6.0,tokyo,2020
59,59,30,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/si,SLO,Slovenia,3.0,1.0,1.0,5.0,tokyo,2020
60,60,31,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/uz,UZB,Uzbekistan,3.0,0.0,2.0,5.0,tokyo,2020
61,61,32,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ge,GEO,Georgia,2.0,5.0,1.0,8.0,tokyo,2020
62,62,33,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/tw,TPE,Chinese Taipei,2.0,4.0,6.0,12.0,tokyo,2020
63,63,34,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/tr,TUR,Turkey,2.0,2.0,9.0,13.0,tokyo,2020
64,64,35,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/gr,GRE,Greece,2.0,1.0,1.0,4.0,tokyo,2020
65,65,36,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ug,UGA,Uganda,2.0,1.0,1.0,4.0,tokyo,2020
66,66,37,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ec,ECU,Ecuador,2.0,1.0,0.0,3.0,tokyo,2020
67,67,38,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ie,IRL,Ireland,2.0,0.0,2.0,4.0,tokyo,2020
68,68,39,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/il,ISR,Israel,2.0,0.0,2.0,4.0,tokyo,2020
69,69,40,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/qa,QAT,Qatar,2.0,0.0,1.0,3.0,tokyo,2020
70,70,41,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/bs,BAH,Bahamas,2.0,0.0,0.0,2.0,tokyo,2020
71,71,42,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/xk,KOS,Kosovo,2.0,0.0,0.0,2.0,tokyo,2020
72,72,43,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ua,UKR,Ukraine,1.0,6.0,12.0,19.0,tokyo,2020
73,73,44,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/by,BLR,Belarus,1.0,3.0,3.0,7.0,tokyo,2020
74,74,45,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ve,VEN,Venezuela,1.0,3.0,0.0,4.0,tokyo,2020
75,75,46,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ro,ROU,Romania,1.0,3.0,0.0,4.0,tokyo,2020
76,76,47,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/in,IND,India,1.0,2.0,4.0,7.0,tokyo,2020
77,77,48,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/hk,HKG,"Hong Kong, China",1.0,2.0,3.0,6.0,tokyo,2020
78,78,49,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/sk,SVK,Slovakia,1.0,2.0,1.0,4.0,tokyo,2020
79,79,50,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ph,PHI,Philippines,1.0,2.0,1.0,4.0,tokyo,2020
80,80,51,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/za,RSA,South Africa,1.0,2.0,0.0,3.0,tokyo,2020
81,81,52,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/at,AUT,Austria,1.0,1.0,5.0,7.0,tokyo,2020
82,82,53,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/eg,EGY,Egypt,1.0,1.0,4.0,6.0,tokyo,2020
83,83,54,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/id,INA,Indonesia,1.0,1.0,3.0,5.0,tokyo,2020
84,84,55,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/pt,POR,Portugal,1.0,1.0,2.0,4.0,tokyo,2020
85,85,56,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/et,ETH,Ethiopia,1.0,1.0,2.0,4.0,tokyo,2020
86,86,57,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/tn,TUN,Tunisia,1.0,1.0,0.0,2.0,tokyo,2020
87,87,58,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fj,FIJ,Fiji,1.0,0.0,1.0,2.0,tokyo,2020
88,88,59,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/lv,LAT,Latvia,1.0,0.0,1.0,2.0,tokyo,2020
89,89,60,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ee,EST,Estonia,1.0,0.0,1.0,2.0,tokyo,2020
90,90,61,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/th,THA,Thailand,1.0,0.0,1.0,2.0,tokyo,2020
91,91,62,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/bm,BER,Bermuda,1.0,0.0,0.0,1.0,tokyo,2020
92,92,63,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/pr,PUR,Puerto Rico,1.0,0.0,0.0,1.0,tokyo,2020
93,93,64,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ma,MAR,Morocco,1.0,0.0,0.0,1.0,tokyo,2020
94,94,65,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/co,COL,Colombia,0.0,4.0,1.0,5.0,tokyo,2020
95,95,66,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/az,AZE,Azerbaijan,0.0,3.0,4.0,7.0,tokyo,2020
96,96,67,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/do,DOM,Dominican Republic,0.0,3.0,2.0,5.0,tokyo,2020
97,97,68,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/am,ARM,Armenia,0.0,2.0,2.0,4.0,tokyo,2020
98,98,69,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/kg,KGZ,Kyrgyzstan,0.0,2.0,1.0,3.0,tokyo,2020
99,99,70,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/mn,MGL,Mongolia,0.0,1.0,3.0,4.0,tokyo,2020
100,100,71,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ar,ARG,Argentina,0.0,1.0,2.0,3.0,tokyo,2020
101,101,72,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/sm,SMR,San Marino,0.0,1.0,2.0,3.0,tokyo,2020
102,102,73,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ng,NGR,Nigeria,0.0,1.0,1.0,2.0,tokyo,2020
103,103,74,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/jo,JOR,Jordan,0.0,1.0,1.0,2.0,tokyo,2020
104,104,75,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/my,MAS,Malaysia,0.0,1.0,1.0,2.0,tokyo,2020
105,105,76,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/lt,LTU,Lithuania,0.0,1.0,0.0,1.0,tokyo,2020
106,106,77,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/sa,KSA,Saudi Arabia,0.0,1.0,0.0,1.0,tokyo,2020
107,107,78,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/mk,MKD,North Macedonia,0.0,1.0,0.0,1.0,tokyo,2020
108,108,79,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/tm,TKM,Turkmenistan,0.0,1.0,0.0,1.0,tokyo,2020
109,109,80,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/bh,BRN,Bahrain,0.0,1.0,0.0,1.0,tokyo,2020
110,110,81,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/na,NAM,Namibia,0.0,1.0,0.0,1.0,tokyo,2020
111,111,82,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/kz,KAZ,Kazakhstan,0.0,0.0,8.0,8.0,tokyo,2020
112,112,83,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/mx,MEX,Mexico,0.0,0.0,4.0,4.0,tokyo,2020
113,113,84,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fi,FIN,Finland,0.0,0.0,2.0,2.0,tokyo,2020
114,114,85,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ci,CIV,Côte d'Ivoire,0.0,0.0,1.0,1.0,tokyo,2020
115,115,86,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/kw,KUW,Kuwait,0.0,0.0,1.0,1.0,tokyo,2020
116,116,87,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/bw,BOT,Botswana,0.0,0.0,1.0,1.0,tokyo,2020
117,117,88,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/gh,GHA,Ghana,0.0,0.0,1.0,1.0,tokyo,2020
118,118,89,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/gd,GRN,Grenada,0.0,0.0,1.0,1.0,tokyo,2020
119,119,90,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/sy,SYR,Syrian Arab Republic,0.0,0.0,1.0,1.0,tokyo,2020
120,120,91,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/md,MDA,Republic of Moldova,0.0,0.0,1.0,1.0,tokyo,2020
121,121,92,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/bf,BUR,Burkina Faso,0.0,0.0,1.0,1.0,tokyo,2020
122,122,0,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/no,NOR,Norway,14.0,14.0,11.0,39.0,pyeongchang,2018
123,123,1,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/de,GER,Germany,14.0,10.0,7.0,31.0,pyeongchang,2018
124,124,2,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ca,CAN,Canada,11.0,8.0,10.0,29.0,pyeongchang,2018
125,125,3,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/us,USA,United States of America,9.0,8.0,6.0,23.0,pyeongchang,2018
126,126,4,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nl,NED,Netherlands,8.0,6.0,6.0,20.0,pyeongchang,2018
127,127,5,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/se,SWE,Sweden,7.0,6.0,1.0,14.0,pyeongchang,2018
128,128,6,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/kr,KOR,Republic of Korea,5.0,8.0,4.0,17.0,pyeongchang,2018
129,129,7,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ch,SUI,Switzerland,5.0,6.0,4.0,15.0,pyeongchang,2018
130,130,8,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fr,FRA,France,5.0,4.0,6.0,15.0,pyeongchang,2018
131,131,9,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/at,AUT,Austria,5.0,3.0,6.0,14.0,pyeongchang,2018
132,132,10,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/jp,JPN,Japan,4.0,5.0,4.0,13.0,pyeongchang,2018
133,133,11,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/it,ITA,Italy,3.0,2.0,5.0,10.0,pyeongchang,2018
134,134,12,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/oar,OAR,Olympic Athletes from Russia,2.0,6.0,9.0,17.0,pyeongchang,2018
135,135,13,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cz,CZE,Czech Republic,2.0,2.0,3.0,7.0,pyeongchang,2018
136,136,14,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/by,BLR,Belarus,2.0,1.0,0.0,3.0,pyeongchang,2018
137,137,15,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cn,CHN,People's Republic of China,1.0,6.0,2.0,9.0,pyeongchang,2018
138,138,16,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/sk,SVK,Slovakia,1.0,2.0,0.0,3.0,pyeongchang,2018
139,139,17,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fi,FIN,Finland,1.0,1.0,4.0,6.0,pyeongchang,2018
140,140,18,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/gb,GBR,Great Britain,1.0,0.0,4.0,5.0,pyeongchang,2018
141,141,19,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/pl,POL,Poland,1.0,0.0,1.0,2.0,pyeongchang,2018
142,142,20,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/hu,HUN,Hungary,1.0,0.0,0.0,1.0,pyeongchang,2018
143,143,21,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ua,UKR,Ukraine,1.0,0.0,0.0,1.0,pyeongchang,2018
144,144,22,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/au,AUS,Australia,0.0,2.0,1.0,3.0,pyeongchang,2018
145,145,23,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/si,SLO,Slovenia,0.0,1.0,1.0,2.0,pyeongchang,2018
146,146,24,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/be,BEL,Belgium,0.0,1.0,0.0,1.0,pyeongchang,2018
147,147,25,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/es,ESP,Spain,0.0,0.0,2.0,2.0,pyeongchang,2018
148,148,26,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nz,NZL,New Zealand,0.0,0.0,2.0,2.0,pyeongchang,2018
149,149,27,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/li,LIE,Liechtenstein,0.0,0.0,1.0,1.0,pyeongchang,2018
150,150,28,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/kz,KAZ,Kazakhstan,0.0,0.0,1.0,1.0,pyeongchang,2018
151,151,29,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/lv,LAT,Latvia,0.0,0.0,1.0,1.0,pyeongchang,2018
152,152,0,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/us,USA,United States of America,46.0,37.0,38.0,121.0,rio,2016
153,153,1,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/gb,GBR,Great Britain,27.0,23.0,17.0,67.0,rio,2016
154,154,2,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cn,CHN,People's Republic of China,26.0,18.0,26.0,70.0,rio,2016
155,155,3,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ru,RUS,Russian Federation,19.0,17.0,20.0,56.0,rio,2016
156,156,4,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/de,GER,Germany,17.0,10.0,15.0,42.0,rio,2016
157,157,5,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/jp,JPN,Japan,12.0,8.0,21.0,41.0,rio,2016
158,158,6,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fr,FRA,France,10.0,18.0,14.0,42.0,rio,2016
159,159,7,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/kr,KOR,Republic of Korea,9.0,3.0,9.0,21.0,rio,2016
160,160,8,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/it,ITA,Italy,8.0,12.0,8.0,28.0,rio,2016
161,161,9,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/au,AUS,Australia,8.0,11.0,10.0,29.0,rio,2016
162,162,10,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nl,NED,Netherlands,8.0,7.0,4.0,19.0,rio,2016
